team,opponent,venue,date,is_home
Brisbane Lions,Gold Coast,The Gabba,2026-08-14,1
Gold Coast,Brisbane Lions,The Gabba,2026-08-14,0
Essendon,Sydney,MCG,2026-08-14,1
Sydney,Essendon,MCG,2026-08-14,0
Fremantle,Adelaide,Optus Stadium,2026-08-14,1
Adelaide,Fremantle,Optus Stadium,2026-08-14,0
Greater Western Sydney,West Coast,ENGIE Stadium,2026-08-14,1
West Coast,Greater Western Sydney,ENGIE Stadium,2026-08-14,0
Hawthorn,Collingwood,MCG,2026-08-14,1
Collingwood,Hawthorn,MCG,2026-08-14,0
North Melbourne,Geelong,Marvel Stadium,2026-08-14,1
Geelong,North Melbourne,Marvel Stadium,2026-08-14,0
Port Adelaide,Melbourne,Adelaide Oval,2026-08-14,1
Melbourne,Port Adelaide,Adelaide Oval,2026-08-14,0
Richmond,St Kilda,MCG,2026-08-14,1
St Kilda,Richmond,MCG,2026-08-14,0
Western Bulldogs,Carlton,Marvel Stadium,2026-08-14,1
Carlton,Western Bulldogs,Marvel Stadium,2026-08-14,0
