team,opponent,venue,date,is_home
Adelaide,Gold Coast,Adelaide Oval,2026-07-09,1
Gold Coast,Adelaide,Adelaide Oval,2026-07-09,0
Brisbane Lions,Essendon,The Gabba,2026-07-09,1
Essendon,Brisbane Lions,The Gabba,2026-07-09,0
Carlton,Hawthorn,MCG,2026-07-09,1
Hawthorn,Carlton,MCG,2026-07-09,0
Collingwood,North Melbourne,Marvel Stadium,2026-07-09,1
North Melbourne,Collingwood,Marvel Stadium,2026-07-09,0
Fremantle,Sydney,Optus Stadium,2026-07-09,1
Sydney,Fremantle,Optus Stadium,2026-07-09,0
Greater Western Sydney,Geelong,ENGIE Stadium,2026-07-09,1
Geelong,Greater Western Sydney,ENGIE Stadium,2026-07-09,0
Melbourne,Richmond,MCG,2026-07-09,1
Richmond,Melbourne,MCG,2026-07-09,0
St Kilda,Port Adelaide,Marvel Stadium,2026-07-09,1
Port Adelaide,St Kilda,Marvel Stadium,2026-07-09,0
Western Bulldogs,West Coast,Marvel Stadium,2026-07-09,1
West Coast,Western Bulldogs,Marvel Stadium,2026-07-09,0
