team,opponent,venue,date,is_home
Brisbane Lions,Sydney,The Gabba,2026-06-25,1
Sydney,Brisbane Lions,The Gabba,2026-06-25,0
Carlton,West Coast,Marvel Stadium,2026-06-25,1
West Coast,Carlton,Marvel Stadium,2026-06-25,0
Collingwood,Richmond,MCG,2026-06-25,1
Richmond,Collingwood,MCG,2026-06-25,0
Fremantle,Gold Coast,Optus Stadium,2026-06-25,1
Gold Coast,Fremantle,Optus Stadium,2026-06-25,0
Hawthorn,Greater Western Sydney,MCG,2026-06-25,1
Greater Western Sydney,Hawthorn,MCG,2026-06-25,0
North Melbourne,Essendon,Marvel Stadium,2026-06-25,1
Essendon,North Melbourne,Marvel Stadium,2026-06-25,0
Port Adelaide,Adelaide,Adelaide Oval,2026-06-25,1
Adelaide,Port Adelaide,Adelaide Oval,2026-06-25,0
